year,player_0,pos,college,weight_0,forty,vertical,bench,broad,threecone,shuttle,Height,round_0,pick_0,side,position_0,overall,team_1,pos_rk,grade
2.0,3173.0,10.0,0.0,83.0,120.0,35.0,1.0,39.0,37.0,47.0,2.0,0.0,98.0,0.0,9.0,83,8.0,13.0,48.0
2.0,3109.0,4.0,46.0,85.0,36.0,1.0,0.0,13.0,8.0,25.0,0.0,1.0,163.0,1.0,4.0,98,30.0,10.0,13.0
2.0,696.0,9.0,29.0,68.0,27.0,12.0,0.0,19.0,23.0,22.0,0.0,6.0,205.0,0.0,8.0,217,3.0,6.0,21.0
2.0,3535.0,1.0,6.0,28.0,18.0,0.0,12.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,2.0,102,15.0,2.0,9.0
2.0,1055.0,7.0,2.0,56.0,20.0,0.0,5.0,23.0,0.0,0.0,6.0,6.0,244.0,1.0,1.0,222,15.0,18.0,54.0
2.0,2111.0,7.0,7.0,66.0,41.0,0.0,0.0,2.0,0.0,17.0,3.0,1.0,66.0,1.0,1.0,107,21.0,11.0,1.0
2.0,1272.0,5.0,81.0,7.0,17.0,25.0,0.0,6.0,10.0,46.0,5.0,5.0,195.0,1.0,2.0,186,13.0,9.0,12.0
2.0,2082.0,1.0,4.0,28.0,7.0,0.0,18.0,0.0,0.0,0.0,7.0,3.0,50.0,1.0,2.0,49,0.0,13.0,4.0
2.0,1093.0,5.0,23.0,25.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,136.0,1.0,2.0,113,12.0,20.0,68.0
2.0,2934.0,11.0,1.0,30.0,38.0,9.0,8.0,6.0,19.0,75.0,0.0,4.0,190.0,1.0,1.0,165,9.0,12.0,53.0
2.0,425.0,2.0,82.0,90.0,115.0,22.0,21.0,17.0,127.0,63.0,8.0,6.0,219.0,0.0,9.0,246,2.0,7.0,8.0
2.0,2781.0,9.0,26.0,26.0,55.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,10.0,0.0,8.0,4,20.0,3.0,43.0
2.0,1170.0,1.0,24.0,78.0,53.0,5.0,10.0,1.0,9.0,127.0,6.0,2.0,101.0,1.0,2.0,10,16.0,1.0,59.0
2.0,291.0,9.0,99.0,38.0,21.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,68.0,0.0,8.0,11,11.0,0.0,70.0
2.0,1487.0,2.0,6.0,2.0,97.0,0.0,16.0,0.0,0.0,0.0,8.0,3.0,13.0,0.0,5.0,52,8.0,2.0,17.0
2.0,3075.0,8.0,47.0,128.0,75.0,9.0,3.0,9.0,0.0,0.0,2.0,4.0,187.0,0.0,7.0,144,8.0,10.0,34.0
2.0,2731.0,0.0,7.0,17.0,14.0,6.0,0.0,0.0,42.0,0.0,0.0,4.0,82.0,0.0,0.0,164,12.0,10.0,16.0
2.0,258.0,19.0,1.0,55.0,25.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18.0,2.0,14.0,87,5.0,3.0,38.0
2.0,325.0,5.0,14.0,3.0,74.0,33.0,10.0,21.0,54.0,96.0,11.0,3.0,48.0,1.0,2.0,44,21.0,3.0,33.0
2.0,2490.0,9.0,37.0,64.0,85.0,12.0,0.0,12.0,75.0,42.0,8.0,0.0,134.0,0.0,8.0,90,13.0,5.0,31.0
2.0,324.0,4.0,43.0,115.0,50.0,9.0,7.0,19.0,7.0,10.0,4.0,1.0,65.0,1.0,4.0,103,9.0,8.0,10.0
2.0,3196.0,5.0,46.0,46.0,18.0,19.0,8.0,7.0,91.0,101.0,1.0,0.0,16.0,1.0,2.0,67,26.0,2.0,14.0
2.0,1946.0,20.0,68.0,63.0,34.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,76.0,2.0,15.0,137,24.0,1.0,66.0
2.0,895.0,4.0,1.0,156.0,37.0,10.0,0.0,2.0,0.0,11.0,0.0,0.0,60.0,1.0,4.0,88,1.0,5.0,17.0
2.0,1384.0,5.0,4.0,3.0,10.0,23.0,9.0,7.0,0.0,0.0,7.0,0.0,135.0,1.0,2.0,95,12.0,16.0,41.0
2.0,1520.0,2.0,103.0,133.0,60.0,6.0,5.0,12.0,126.0,47.0,4.0,4.0,78.0,0.0,9.0,141,21.0,12.0,1.0
2.0,2897.0,11.0,42.0,47.0,63.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,166.0,1.0,1.0,127,3.0,2.0,2.0
2.0,1947.0,12.0,25.0,86.0,60.0,20.0,16.0,38.0,64.0,58.0,1.0,5.0,175.0,0.0,11.0,190,6.0,6.0,68.0
2.0,1632.0,5.0,33.0,11.0,4.0,5.0,2.0,21.0,0.0,0.0,5.0,4.0,145.0,1.0,2.0,158,31.0,6.0,2.0
2.0,1685.0,1.0,61.0,41.0,5.0,5.0,19.0,3.0,3.0,100.0,7.0,4.0,144.0,1.0,2.0,152,6.0,27.0,53.0
2.0,1974.0,6.0,18.0,153.0,56.0,35.0,21.0,40.0,101.0,89.0,2.0,3.0,8.0,1.0,6.0,36,25.0,10.0,36.0
2.0,2014.0,10.0,2.0,88.0,58.0,8.0,2.0,14.0,81.0,40.0,0.0,3.0,49.0,0.0,9.0,46,3.0,1.0,9.0
2.0,203.0,4.0,48.0,118.0,76.0,1.0,5.0,18.0,0.0,45.0,0.0,4.0,186.0,1.0,4.0,135,22.0,12.0,12.0
2.0,903.0,7.0,44.0,72.0,35.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,9.0,1.0,1.0,39,24.0,1.0,19.0
2.0,1860.0,0.0,44.0,28.0,36.0,9.0,0.0,13.0,0.0,23.0,7.0,6.0,223.0,0.0,0.0,214,14.0,42.0,0.0
2.0,3538.0,4.0,1.0,119.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,37.0,1.0,4.0,18,28.0,1.0,59.0
2.0,1686.0,9.0,34.0,65.0,69.0,27.0,0.0,26.0,75.0,30.0,0.0,5.0,216.0,0.0,8.0,201,31.0,10.0,39.0
2.0,640.0,10.0,47.0,20.0,99.0,12.0,20.0,29.0,120.0,63.0,0.0,3.0,89.0,0.0,9.0,34,20.0,3.0,31.0
